"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Formation initiale ou continue","Avis critique sur le cours et/ou la formation","Comptabilité"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business (BIB) English Track","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://en.grenoble-em.com/bachelor-international-business-english-track","Oui","Improbable","Sustainable Marketing","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business (BIB) English Track","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://en.grenoble-em.com/bachelor-international-business-english-track","Oui","Improbable","Sustainable Development in the Fashion and Design Industry","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business (BIB) English Track","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://en.grenoble-em.com/bachelor-international-business-english-track","Oui","Improbable","Sustainable and Social Entrepreneurship","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Bachelor in International Business (BIB) English Track","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+0","Bac+3","3.0","180.0","https://en.grenoble-em.com/bachelor-international-business-english-track","Oui","Improbable","Sustainable Management of Tourist Destinations","Non indiqué","Optionnel","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Undergraduate Summer School","Droit, Economie, Gestion","Gestion","Séminaire d'un mois sur la gestion des PME et le marketing international","Bac+2","Bac+2","0.0","12.0","https://en.grenoble-em.com/international-summer-school","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","Master in International Business (MIB)","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce international et de la gestion","Bac+3","Bac+5","2.0","120.0","https://en.grenoble-em.com/master-international-business-mib","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","MSc Entrepreneurship & Global Marketing ","Droit, Economie, Gestion","Gestion","Formation aux métiers de l'entrepreneuriat et du marketing","Bac+3","Bac+5","2.0","120.0","https://en.grenoble-em.com/msc-entrepreneurship-global-marketing","Oui","Improbable","Socially Responsible Entrepreneurship in an International Context","Non indiqué","Obligatoire","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","MSc Fashion, Design and Luxury Management","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management et le marketing de l'industrie du luxe","Bac+3","Bac+5","2.0","120.0","https://en.grenoble-em.com/msc-fashion-design-and-luxury-management","Oui","Non","Sustainable Luxury and Design","Non indiqué","Obligatoire","Non indiqué","Non indiqué","Non indiqué","Initiale ","Pas de détails sur le contenu du cours","1.0"
"Ecole_commerce","Grenoble Ecole de Management","MSc Finance","Droit, Economie, Gestion","Gestion","Formation spécialisée en Finance","Bac+3","Bac+5","2.0","120.0","https://en.grenoble-em.com/msc-finance","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","MSc Marketing Management","Droit, Economie, Gestion","Gestion","Formation aux métiers du marketing","Bac+3","Bac+5","2.0","120.0","https://en.grenoble-em.com/msc-marketing-management","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","MSc Innovation, Strategy and Entrepreneurship","Droit, Economie, Gestion","Gestion","Formation spécialisée en entrepreunariat.","Bac+3","Bac+5","2.0","120.0","https://en.grenoble-em.com/msc-innovation-strategy-and-entrepreneurship","Non","Non","","","","","","","Initiale ","","1.0"
"Ecole_commerce","Grenoble Ecole de Management","MSc Business Development","Droit, Economie, Gestion","Gestion","Formation spécialisée en commerce et gestion","Bac+3","Bac+5","2.0","120.0","https://en.grenoble-em.com/msc-business-development","Non","Non","","","","","","","Initiale ","","1.0"
