"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Energie, Transport et Environnement","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Oui","Oui","Energies et réseaux","Optimisation de la performance des systèmes de production d’électricité (fossile ou renouvelable); fonctionnement d’un réseau électrique et place des différentes formes de production, en particulier les énergies renouvelables ; principes de régulation d’un réseau électrique ; formes de stockage de l’énergie et leur effet sur un réseau électrique donné","Optionnel","2.0","29.0","Questionnaires et présentation orale, BE (bureau d'études)","Pendant 1 semestre de la 3e année il est possible de se spécialiser dans le domaine « énergie, transport et environnement ». Ce cours est obligatoire dans le domaine qui compte au total 9 ECTS.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Energie, Transport et Environnement","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Oui","Oui","Etude de cas en optimisation","Minimisation de l’empreinte environnementale en utilisant la programmation linéaire et la programmation par contraintes.","Optionnel","1.0","19.0","Compte-rendus","Pendant 1 semestre de la 3e année il est possible de se spécialiser dans le domaine « énergie, transport et environnement ». Ce cours est obligatoire dans le domaine qui compte au total 9 ECTS.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Energie, Transport et Environnement","Sciences, Technologie, Santé","Aérospatial","Specialisation de la 3eme année","Bac+4","Bac+5","0.5","9.0","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Oui","Oui","Transport et intermodalité","Contraintes liées au défi énergétique aux différents modes de transport (terrestre, maritime et aérien) ; principaux leviers d’optimisation de la performance des systèmes de transport pour réduire les émissions à la source ; principaux leviers de réduction de l’empreinte environnementale globale par une utilisation optimisée d’un réseau de transport","Optionnel","2.0","35.0","BE (bureau d'études) / TP","Pendant 1 semestre de la 3e année il est possible de se spécialiser dans le domaine « énergie, transport et environnement ». Ce cours est obligatoire dans le domaine qui compte au total 9 ECTS. C'est un cours intéressant du domaine de spécialisation car il fait le lien avec la formation aéronautique.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Structure et Matériaux","Sciences, Technologie, Santé","Aérospatial","Expertise de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Oui","Non","Matériaux spéciaux et thermiques","Amélioration des turboréacteurs en termes d’efficacité et de respect de l’environnement","Optionnel","2.0","30.0","Présentation orale et rapport d’étude bibliographique","Ce cours aborde les matériaux plus respectueux de l'environnement, mais cette partie ne représente qu'une petite partie du cours et la dernière présentée.","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Structure et Matériaux","Sciences, Technologie, Santé","Aérospatial","Expertise de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non","Non","","","","","","","","1.0"
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Sciences de la décision","Sciences, Technologie, Santé","Aérospatial","Expertise de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non","Non","","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Dynamique des fluides","Sciences, Technologie, Santé","Aérospatial","Expertise de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf","Non","Non","","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Informatique, Telecommunication et réseau","Sciences, Technologie, Santé","Aérospatial","Expertise de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf ","Non","Non","","","","","","","",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Observation de la Terre et sciences de l'univers","Sciences, Technologie, Santé","Aérospatial","Expertise de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf ","Oui","Oui","Fondamentaux des sciences de la Terre","Océanographie ; Météo, Atmosphère, Climat ; Forêt & Végétation ; Hydrologie & Cycle de l’eau","Optionnel","4.0","60.0","Examen et soutenance","Ce cours est destiné aux étudiants qui souhaitent se spécialiser dans les satellites d'observation de la terre qui peuvent fournir des informations importantes sur l'environnement. Les enjeux environnementaux sont abordés scientifiquement et de manière approfondie. Le cours s'inscrit judicieusement dans la formation.",""
"Ecole_ingénieurs","ISAE-Supaéro","Cursus ingénieur - Signaux et systèmes","Sciences, Technologie, Santé","Aérospatial","Expertise de la 3eme année","Bac+4","Bac+5","0.5","Non indiqué","https://www.isae-supaero.fr/IMG/pdf/catalogue_d_enseignement_3a_2017-18-3.pdf ","Non","Non","","","","","","","","1.0"
