"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 2 - Ingénierie des aliments, biomolécules et énergie - UC  Evaluation environnementale des filières agro-industrielles","Impacts procédé et produits sur l'environnement des produits/ procédés agro alimentaires, réglementation, enjeux économiques","Optionnel","non-indiqué ","22.5","Compte-rendu de TP, exercice noté, partiel","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Non","Domaine 2 - Ingénierie des aliments, biomolécules et énergie - UC  Consommateur, citoyen, société et offre produit","interaction produit agroalimentaire-cosmétique/consommateur, social et ethique, approche systémique dans la définition de l'offre produit ","Optionnel","non-indiqué ","22.5","Exposés","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 3 - Gestion et ingénierie de l’environnement - UC bases scientifiques et techniques de l’ingénierie écologique","     Analyse d’une situation (site atelier).
    Approche par ressources/disciplines : eau (hydrologie), sol (pédologie), atmosphère (bioclimatologie), biodiversité (écologie), paysage (écologie du paysage)
    ","Optionnel","non-indiqué ","72.0","Combinaison cours/terrain/TD
    Validation des acquis par la pertinence et l’argumentation des propositions d’actions","Questions environnementales et énergétiques abordées : prise en compte de l’impact sur la qualité de l’air lors de l’implantation de nouvelles infrasctructures. ","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 3 - Gestion et ingénierie de l’environnement - UC Gestion et sociologie de l’environnement","Approches gestionnaires et stratégiques : Introduction et présentation des principales méthodes et outils d’aide à la décision- dans la gestion de l’environnement. Stratégies patrimoniales de gestion de- l’environnement. Illustrations sur quelques cas.
Approches sociologiques : Eléments d’anthropologie culturelle pour appréhender le rapport des sociétés- contemporaines à la nature. Construction de l’environnement comme fait social.","Optionnel","non-indiqué ","24.0","Partiel","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 3 - Gestion et ingénierie de l’environnement - UC Economie de l’environnement","Externalités et biens publics. Evaluation des biens environnementaux et outils de quantification. Instruments de politique environnementale : taxes, subventions, standards, réglementations. Mesures contre le changement climatique, marchés de droits. Irréversibilité, incertitude, et information croissante","Optionnel","non-indiqué ","24.0","Partiel","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 3 - Gestion et ingénierie de l’environnement - UC Politiques et droit de l’environnement","Droit de l’environnement ; L’Administration de l’environnement et ses réformes ; Les instruments d’action publique, leurs limites et leur évolution : « grenellisation » de l’action publique » ; engagements volontaires ; partenariats public/privé ; participation et concertation ; Conférence ; L’Action publique face aux risques et aux catastrophes","Optionnel","non-indiqué ","24.0","DM + Partiel","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 3 - Gestion et ingénierie de l’environnement - UC gestion et traitement des données environnementales"," - Méthodes mathématiques et modélisation : Méthodes de classification. Analyse de séries chronologiques. Modèle linéaire- généralisé ;
- Traitement des données géographiques sous SIG : Requêtes sémantiques et requêtes géographiques. Opérations arithmétiques- logiques et statistiques sur les tables de données. Calculs géographiques. ","Optionnel","non-indiqué ","24.0","Compte rendu TP noté","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Oui","Domaine 3 - Gestion et ingénierie de l’environnement - UC introduction aux technologies du traitement des eaux et des déchets ","Chimie et physico-chimie du traitement des eaux et des déchets
Microbiologie du traitement des eaux et des. Déchets
Génie des procédés appliqué au traitement des eaux et des déchets-Etude approfondie d’une unité de traitement-Initiation à l’écologie industrielle","Optionnel","non-indiqué ","24.0","TD (Synthèse bibliographique) + partiel","Questions environnementales et énergétiques abordées. ","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Non","Improbable","Domaine 4 -Ingénierie et santé : homme, bioproduits, environnement - UC Biologie structurale et santé "," - Complexes d’intégration viraux
- Méthodes d’étude des interactions protéine partenaire
- Assemblages membranaires
- Le ribosome bactérien comme cible d’antibiotiques
- Bases structurales des allergies et intolérances alimentaires
- Prions
- Cibles thérapeutiques pour le HIV
- Interactions de molécules actives avec des cibles de structure connue
- Interactions moléculaires étudiées par double hybrid","Optionnel","non-indiqué ","24.0","QCM + CR TP","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","AgroParisTech","Cursus Ingénieur","Sciences, Technologie, Santé","Biologie, environnement","sciences et technologies du vivant et de l’environnement","Bac+2","Bac+5","3.0","180.0","http://www2.agroparistech.fr/Cursus-Ingenieur-AgroParisTech-2111.html","Oui","Improbable","Domaine 4 -Ingénierie et santé : homme, bioproduits, environnement - UC Génétique et biologie cellulaire pour la santé"," - Génétique : Du génome à l’identification des gènes d’intérêt et à leur expression [Génétique / Epigénétique]
- Biologie cellulaire et développement : contrôle de la différentiation et de la prolifération cellulaire, apoptose, adressage, rôle des matrices extracellulaires, neurobiologie
- Modélisation de la réponse : Biologie des systèmes de la cellule normale et pathologique
- Ingénierie cellulaire : Modèles cellulaires, génie génétique, ingénierie cellulaire, criblage de molécules actives et pharmacogénomique
- Gestion publique des systèmes de santé
- Gestion de portefeuille d’activités de recherche en pharmacie
- Ethique et réglementation
- Modélisation de la maladie d’Alzheimer","Optionnel","non-indiqué ","36.0","Partiel","","1.0"
