"","ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master stratégie énergétique","Sciences, Technologie, Santé","Energie","Master donnant des compétences économiques et techniques permettant aux élèves de comprendre les politiques énergétiques. ","Bac+3","Bac+5","2.0","120.0","http://www.masterenergy.eu/fr/","Non indiqué","Oui","Spécialisation énergie et matières premières","Non indiqué","Optionnel","6.0","80.0","Non indiqué","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Clean and Renewable Energy ","Sciences, Technologie, Santé","Energie","Master européen-chinois piloté en Europe par les Mines. Master sur la thématique des technologies de la transition énergétique. Les cours sont en Chine. ","Bac+3","Bac+5","2.0","Non indiqué ","http://www.master-clean-renewable-energy.eu/","Non indiqué","Oui","Introduction to the theory and application of solar, wind, biomass, geothermal energy, and energy efficiency.
","Non indiqué","Obligatoire","Non Indiqué ","Non Indiqué ","Non Indiqué ","On suppose que les enjeux de la transition énergétique sont abordés mais le contenu des cours n'est pas détaillé.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Clean and Renewable Energy ","Sciences, Technologie, Santé","Energie","Master européen-chinois piloté en Europe par les Mines. Master sur la thématique des technologies de la transition énergétique. Les cours sont en Chine. ","Bac+3","Bac+5","2.0","Non indiqué ","http://www.master-clean-renewable-energy.eu/","Non indiqué","Oui","Energy policy and management ","Les bases des accords multiparties, de la taxe carbone, des compensations, de la politique énergétique chinoise et d'autres pays.","Obligatoire","Non Indiqué ","Non Indiqué ","Non Indiqué ","Cours pertinent pour comprendre les enjeux politiques, économiques et stratégiques liés au changement climatique.","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Clean and Renewable Energy ","Sciences, Technologie, Santé","Energie","Master européen-chinois piloté en Europe par les Mines. Master sur la thématique des technologies de la transition énergétique. Les cours sont en Chine. ","Bac+3","Bac+5","2.0","Non indiqué ","http://www.master-clean-renewable-energy.eu/","Non indiqué","Oui","Energy economics & system life cycle analysis","Non indiqué","Obligatoire","Non Indiqué ","Non Indiqué ","Non Indiqué ","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Mobilité et véhicules électriques ","Sciences, Technologie, Santé","Transport Energie","Master en partenariat entre la Fondation Renault et le groupement d'école Paristech. Il a pour ambition de former des ingénieurs compétents sur la question des véhicules électriques.","Bac+3","Bac+5","2.0","Non indiqué ","http://www.mastermobilite-ve.com/fr","Oui","Oui","Enjeux des mobilités durables","Enjeux des mobilités durables - Matériaux et analyses du cycle de vie pour Véhicule Électrique","Obligatoire","Non Indiqué ","Non Indiqué ","Non Indiqué ","Seul cours spécifiquement centré sur les enjeux environnementaux et le rôle que pourrait jouer le véhicule électrique dans ce cadre. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Mobilité et véhicules électriques ","Sciences, Technologie, Santé","Transport Energie","Master en partenariat entre la Fondation Renault et le groupement d'école Paristech. Il a pour ambition de former des ingénieurs compétents sur la question des véhicules électriques.","Bac+3","Bac+5","2.0","Non indiqué ","http://www.mastermobilite-ve.com/fr","Non","Oui","Énergétique des Véhicules Électrifiés","Les VE sur le réseau électrique, stabilité, offre demande","Obligatoire","Non Indiqué ","Non Indiqué ","Non Indiqué ","Seule une petite partie de ce cours porte sur le rôle que pourrait avoir le véhicule électrique dans une transition électrique. Semble improbable qu'autre chose qu'une vision très technologique de la transition électrique soit proposée dans ces cours. ","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Biomedical Engineering","Sciences, Technologie, Santé","Biotechnologie","Master de ParisTech en partenariat avec l'université Descartes. Propose un enseignement sur la bio ingénierie.","Bac+3","Bac+5","2.0","Non indiqué ","http://bme-paris.com/en/article/6","Non","Non","","","","","","","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Systèmes avancés et robotique
","Sciences, Technologie, Santé","Informatique","Master des Mines en partenariat avec la Sorbonne. Propose un enseignement lié à l'informatique dans l'industrie.","Bac+3","Bac+5","2.0","Non indiqué ","http://www-master.ufr-info-p6.jussieu.fr/lmd/specialite/sar/","Non","Non","","","","","","","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Géophysique
","Sciences, Technologie, Santé","Géologie","Master des Mines en partenariat avec l'institut de physique du globe de Paris. Cours sur les méthode de surveillance des sols plutôt orienté recherche.","Bac+3","Bac+5","2.0","Non indiqué ","http://www.ipgp.fr/fr/paris-exploration-geophysics-group","Non indiqué","Non indiqué","","","","","","","","","1.0"
"Ecole_formant_des_élèves_fonctionnaires_ingénieurs","Mines de Paris","Master Modélisation, optimisation, décision, organisation
","Sciences, Technologie, Santé","Optimisation","Master des Mines en partenariat avec l'Université Paris dauphine. Enseignement sur les techniques d'optimisation et de mathématiques appliquées orienté recherche.","Bac+3","Bac+5","2.0","Non indiqué ","http://modo.dauphine.fr/","Non","Non","","","","","","","","","1.0"
