"ETABLISSEMENT","","","","","FORMATION","","","","","","","UNITE DE VALEUR (COURS)","","","","","","",""
"Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Comptabilité"
"HEC","M2:  Management - Majeure Entrepreneurs","Droit, Economie, Gestion","Management ","Expérience de terrain et exigence professionnelle élevée sont les maîtres-mots de la majeure Entrepreneurs. Dotée d’une pédagogie unique et d’un corps professoral très impliqué, elle forme les étudiants à tous les aspects du projet entrepreneurial (gestion, vente, leadership…) et propose un accompagnement poussé.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Non-degree-programs/Certificates-available-to-current-HEC-students-only/Energy-Finance/Why-this-certificate","Oui","Oui","The Energy and Finance Certificate","economics of energy, energy-related financial issues, and climate change","Optionnel","non indiqué","non indiqué","non indiqué","",""
"HEC","M2:  Management - Majeure Digital","Droit, Economie, Gestion","Management ","La Majeure Digital a pour vocation de former des managers à la maîtrise de deux langages indissociables : celui du management et celui des technologies. Au-delà des systèmes d’information, l’utilisation managériale des technologies de l’information est devenue incontournable pour réduire les coûts et accroître la productivité, valoriser et enrichir le travail des salariés, développer les ventes et le service aux clients, créer des activités innovantes.","Bac+4","Bac+5","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus/M2-la-formation-specialisee-fin-du-cycle-Master/Management/Majeure-Digital","Non","Non","","","","","","","",""
"HEC","M2:  Management - Majeure Management de Grands Projets ","Droit, Economie, Gestion","Management ","La Majeure Management de Grands Projets, organisée en partenariat avec l’ISAE, permet d’acquérir toutes les compétences pour fédérer une équipe autour d'un projet et garantir le respect de la qualité, des coûts, des délais et la maîtrise des risques. Une spécialisation très recherchée par les entreprises en quête de compétitivité.","Bac+4","Bac+5","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus/M2-la-formation-specialisee-fin-du-cycle-Master/Management/Majeure-Management-de-Grands-Projets","Non","Non","","","","","","","",""
"HEC","Double degree with FGV EAESP","Droit, Economie, Gestion","Management ","HEC students wishing to study at FGV, in Brazil, will have access to a wide range of core and elective courses.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-FGV-EAESP","Non","Non","","","","","","","",""
"HEC","Double degree with Tsinghua University, School of Economics and Management","Droit, Economie, Gestion","Management ","HEC students wishing to study at FGV, in Brazil, will have access to a wide range of core and elective courses.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-FGV-EAESP","Non","Non","","","","","","","",""
"HEC","Double degree with Etats-Unis : MIT - Sloan School of Management, Cambridge (Master of Business Analytics et Master of Finance)","Droit, Economie, Gestion","Management ","HEC students wishing to study at FGV, in Brazil, will have access to a wide range of core and elective courses.","Bac+4","Bac+5","1.0","60.0","http://www.hec.fr/Grande-Ecole-MS-MSc/Programmes-diplomants/Grande-Ecole/Master-in-Management/Details-du-cursus","Non indiqué","Non indiqué","","","","","","","",""
"HEC","Double degree with ESADE Business School - MSc in International Management ","Droit, Economie, Gestion","Management ","The double program HEC Paris-ESADE gives access to 4 comprehensive MSc dedicated to 4 different fields of management.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-ESADE-Business-School","Improbable","Improbable","Firms, economics and the global environment","non indiqué","Obligatoire","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with ESADE Business School - MSc in International Management ","Droit, Economie, Gestion","Management ","The double program HEC Paris-ESADE gives access to 4 comprehensive MSc dedicated to 4 different fields of management.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-ESADE-Business-School","Oui","Non","Corporate sustainability strategies","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","",""
"HEC","Double degree with ESADE Business School - MSc in Marketing Management ","Droit, Economie, Gestion","Management ","The double program HEC Paris-ESADE gives access to 4 comprehensive MSc dedicated to 4 different fields of management.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-ESADE-Business-School","Non","Non","","","","","","","",""
"HEC","Double degree with ESADE Business School - MSc in Innovation and Entrepreneurship ","Droit, Economie, Gestion","Management ","The double program HEC Paris-ESADE gives access to 4 comprehensive MSc dedicated to 4 different fields of management.","Bac+4","Bac+5","1.0","60.0","http://www.hec.edu/Masters-programs/Master-s-Programs/Grande-Ecole/Master-in-Management/Program-Details/M2-Specialization-Phase/Management/Double-degree-with-ESADE-Business-School","Oui","Oui","Entrepreneurship & innovation in clean-tech and sustainable energy","non indiqué","Optionnel","non indiqué","non indiqué","non indiqué","",""
