"","ETABLISSEMENT","FORMATION","","","","","","","","","UNITE DE VALEUR (COURS)","","","","","","","","","",""
"Type","Nom","Nom","Domaine","Spécialité","Descriptif","Niveau de diplôme à l'entrée","Niveau de diplôme en sortie","Durée (en années)","Total ECTS","Url de la formation","Questions ENV. au sens large évoquées(oui/non)","Enjeux transition énergétique-climat abordés(oui/non)","Nom du cours","Notions abordées","Cours optionnel ou obligatoire","Nombre de crédits ECTS accordés par ce cours","Durée du cours (en nombre d'heures)","Mode d'évaluation ","Avis critique sur le cours et/ou la formation","Formation initiale ou continue","Comptabilité"
"Ecole_commerce","ESSEC","Mastère Spécialisé Management International Agro-alimentaire (MIA)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management et gestion dans l'industrie agro-alimentaire","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/ms-management-international-agro-alimentaire/","Oui","Improbable","New business development in the agri-food sector","Enjeux de l'industrie agro-alimentaire et opportunités pour les entreprises","optionnel","non indiqué","25.0","Projet de groupe et participation en classe","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Centrale-ESSEC Entrepreneurs (ENTREP)","Droit, Economie, Gestion","Gestion","Formation aux métiers du commerce, de la gestion, de l'industrie, de l'entrepreunariat, du conseil, du marketing et de la finance.","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/ms-centrale-essec-entrepreneurs/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Management des Systèmes d’Information en Réseaux (MSIR)","Droit, Economie, Gestion","Gestion","Formation spécialisée en gestion des SI et réseaux","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/mastere-specialise-management-des-systemes-dinformation-en-reseaux/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Marketing Management et Digital (MMD)","Droit, Economie, Gestion","Gestion","Formation spécialisée en marketing digital","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/mastere-specialise-marketing-management-et-digital/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Management de Projets Technologiques (MPT)","Droit, Economie, Gestion","Gestion","Formation spécialisée en gestion de projets technologiques","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/mastere-specialise-management-de-projets-technologiques/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Gestion Achats Internationaux & Supply Chain (GAISC)","Droit, Economie, Gestion","Gestion","Formation spécialisée visant à former des managers de la fonction achats et supply chain","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/ms-gestion-achats-internationaux-supply-chain/","Oui","Improbable","Management des opérations & de la logistique durable","","optionnel","non indiqué","non indiqué","non indiqué","Description du cours non disponible","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Management Urbain et Immobilier (MUI)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management dans le secteur de l'immobilier","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/ms-management-urbain-et-immobilier/","Oui","Non","Droit de l’urbanisme, de l’immobilier et de l'environnement","Droit de l'environnement","optionnel","non indiqué","25.0","Quizz et étude de cas","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Mastère Spécialisé Management Urbain et Immobilier (MUI)","Droit, Economie, Gestion","Gestion","Formation spécialisée en management dans le secteur de l'immobilier","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/fr/programme/masters/ms-management-urbain-et-immobilier/","Oui","Oui","Enjeux de la transition énergétique","Transition énergétique : maîtrise de la demande, précarité énergétique, mix énergétique, innovations, fiscalité","Obligatoire","non indiqué","25.0","Participation en classe (30%) et travaux de groupe (70%)","","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Advanced Master in Business Administration Research","Droit, Economie, Gestion","Gestion","Programme de recherche dans le domaine du commerce, de la gestion et du management","Bac+4","Bac+5","1.0","75.0","http://www.essec.edu/en/program/masters/advanced-master-business-administration-research/","Non","Non","Programme de recherche => pas de cours (à exclure du recensement ?)","","","","","","Programme de recherche => pas de cours (à exclure du recensement ?)","","1.0"
"Ecole_commerce","ESSEC","Master in Finance","Droit, Economie, Gestion","Gestion","Formation spécialisée en finance","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mscs/master-finance/","Oui","Improbable","Sustainable Energy Economics","Energies renouvelables","optionnel","4.0","non indiqué","non indiqué","Description du cours non disponible","Formation initiale","1.0"
"Ecole_commerce","ESSEC","Master in Finance","Droit, Economie, Gestion","Gestion","Formation spécialisée en finance","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mscs/master-finance/","Oui","Improbable","Commodity Markets & Energy Products","Fonctionnement des marchés de l'énergie et des ressources","optionnel","4.0","non indiqué","non indiqué","Description du cours non disponible","Formation initiale","1.0"
"Ecole_commerce","ESSEC","MSc in Hospitality Management IMHI","Droit, Economie, Gestion","Gestion","Formation spécialisée dans le management de l’hôtellerie, de la restauration et des arts culinaires","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mscs/MSc-in-Hospitality-Management-IMHI/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","MSc in Marketing Management and Digital","Droit, Economie, Gestion","Gestion","Formation spécialisée en marketing digital","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mscs/msc-marketing-management-and-digital/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","Master in Data Sciences & Business Analytics - ESSEC & CentraleSupélec","Droit, Economie, Gestion","Gestion","Formation spécialisée en marketing et analyse de données","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mscs/master-data-sciences-business-analytics/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
"Ecole_commerce","ESSEC","MSc in Management of Health Industries","Droit, Economie, Gestion","Gestion","Formation spécialisée en management dans le secteur de la santé","Bac+4","Bac+5","1.0","90.0","http://www.essec.edu/en/program/mscs/msc-management-health-industries-asia/","Non","Non","aucun cours ""environnement"" identifié au sein de la formation","","","","","","","","1.0"
